nurse_id,full_name,degree,certification,max_shifts_per_day,max_shifts_per_week,qualifications
N01,Alice Smith,BSN,CEN,1,4,RN;ER;Procedural
N02,Bob Johnson,MSN,CCRN,1,4,RN;ICU;Charge
N03,Carol Lee,BSN,CNOR,1,5,RN;OR;Procedural
N04,David Kim,BSN,OCN,1,5,RN;ICU;Oncology
N05,Eva Brown,BSN,RNC-Peds,1,4,RN;Pediatrics;Maternity
N06,Frank Wilson,ADN,CDN,1,5,RN;Dialysis;Charge
N07,Grace Miller,ADN,,1,5,RN;MedSurg
N08,Hank Davis,BSN,CEN,1,4,RN;ER;ICU
N09,Ivy Garcia,BSN,OCN,1,5,RN;Oncology;Procedural
N10,Jack Martinez,BSN,CNOR,1,4,RN;OR;Charge
N11,Karen Robinson,BSN,RNC-OB,1,4,RN;Maternity;MedSurg
N12,Leo Clark,BSN,CDN,1,5,RN;Dialysis;ICU
N13,Mia Rodriguez,BSN,CPN,1,4,RN;Pediatrics;ER
N14,Noah Lewis,ADN,,1,5,RN;MedSurg;Oncology
N15,Olivia Walker,BSN,CNOR,1,5,RN;OR;Procedural
N16,Paul Hall,MSN,CCRN,1,4,RN;ICU;ER;Charge
N17,Quinn Allen,BSN,CPN,1,5,RN;Pediatrics;MedSurg
N18,Ruby Young,BSN,RNC-OB,1,4,RN;Maternity;Procedural
N19,Sam Hernandez,BSN,OCN,1,5,RN;Dialysis;Oncology
N20,Tina King,BSN,CEN,1,5,RN;ER;MedSurg
N21,Uma Patel,BSN,,1,3,RN;MedSurg
N22,Victor Nguyen,ADN,,1,4,RN;ER
N23,Wendy Chen,BSN,CCRN,1,4,RN;ICU
N24,Xavier Brooks,BSN,CNOR,1,3,RN;OR
N25,Yara Hassan,BSN,,1,4,RN;Oncology;MedSurg
N26,Zane Cooper,ADN,CDN,1,4,RN;Dialysis
N27,Ana Morales,BSN,CEN,1,4,RN;ER;Procedural
N28,Ben Turner,BSN,CNOR,1,4,RN;OR;Procedural
